,label,text
0,pre_purchase,how's it going Arthur I just placed an order with you guys and I accidentally sent it to the wrong address can you please help me change this
1,post_purchase,yeah hello I'm just wondering if I can speak to someone about an order I received yesterday
2,post_purchase,hey I receive my order but it's the wrong size can I get a refund please
3,pre_purchase,hi David I just placed an order online and I was wondering if I could make an alteration to that order before you send it off
4,post_purchase,hey I bought something from your website the other day and it arrived but it's it's not the thing that I ordered is there someone I can talk to her to fix this up
5,pre_purchase,hey mate just looking to make some alterations to my order I just placed
6,pre_purchase,hi I just ordered a new phone and I was just wondering if I could cancel out order and organise a refund
7,post_purchase,yeah hey I need I need some help with it with an order that I ordered the other day it it came in it wasn't it wasn't correct
8,pre_purchase,yeah I just placed in all this you guys and I was wondering if I could change a few things before it's shift out
9,pre_purchase,hey I just ordered the blue and yellow shoes off your website and I was wondering if I could cancel that order and organise a refund
10,pre_purchase,hey Polly just looking to place an order but before I proceed I'm just wondering if this offer still stands
11,pre_purchase,do you currently offer any new promotions at the moment
12,pre_purchase,hey so I just placed an order with your company and I was just wondering where I can find my reference number
13,post_purchase,just wondering if there's any tutorials on how to setup my device I just received
14,post_purchase,I've just bought a product new guys and I want to know what your return keys and Caesar
15,post_purchase,yeah hello someone this morning delivered a package but I think it's I think it's not the right one that I ordered is there someone I can talk to you too to change it
16,post_purchase,I'm just happy with the colour that I got from you guys so is there any chance I can change it for a different one
17,post_purchase,hey mate how are you doing just wanted to know if there's any support I can get on this device how to set it up
18,pre_purchase,hi I saw your new phone on your website I was wondering if you have any setup tips for
19,pre_purchase,hi I just ordered a new t-shirt and I was wondering if I could cancel an order and organise a refund
20,pre_purchase,hi I just ordered the green and blue shoes off your website and I was wondering if I could add a shirt to my order before you send it
21,post_purchase,hey I'm just not happy with the product that you guys send me is there any chance I can swap it out for another one
22,pre_purchase,hi Michael just looking to enquire about a few things before I place an order I was wondering if you could help me
23,post_purchase,I bought a pair of pants from you guys but they're way too small
24,post_purchase,all the things I receive my order yesterday with damaged I'm not sure what happened to delivery is there someone that can give me a hand
25,post_purchase,my order a 64321 arrived this morning but there's something wrong with it is there someone I can talk to you to fix it
26,post_purchase,just received the product from you guys and it didn't meet my expectations can I please get a refund
27,pre_purchase,hi I just ordered some shoes and I was just wondering if I could cancel the order and make a refund
28,post_purchase,is there anybody that can help me set up this product or any how to use
29,post_purchase,I recently got these pair of shoes but they're too big can I change the size
30,pre_purchase,your hi Jacob looking to make an order but just have a few questions regarding some products that you have online
31,post_purchase,hey I ordered something yesterday and it arrived it arrived this morning but it seems like there's a few a few extra things in there that I didn't really order is there someone that I can talk to you to fix this up
32,post_purchase,the box that you sent me yesterday arrived but it's damaged the someone I can talk to about a replacement
33,post_purchase,a couple of days ago I got a message saying that my package has been delivered it wasn't delivered that day but it still hasn't arrived there someone I can talk to about my order
34,pre_purchase,I just placed an order online and I was just wondering when I'll get my confirmation email
35,post_purchase,yeah hello someone this morning delivered a package but I think it's I think it's not the right one that I ordered is there someone I can talk to you too to change it
36,pre_purchase,hey I was wondering if you know where my new phone is that I just recently ordered
37,post_purchase,I just received this device and I'd love some supported to be able to set it up
38,pre_purchase,hey I was just looking online at your shoes and I was wondering if you have this friend in Pink
39,post_purchase,hello someone from your team delivered my package today but it's it's got a problem with it
40,pre_purchase,hi I just recently placed an order with your company I was just wondering if you know the status of my shipment
41,post_purchase,the shipment I received is wrong
42,post_purchase,hey I'm calling up to to see if I can talk to someone to help with her a shipment that I received yesterday
43,post_purchase,hey man I just bought a product from you guys and I think it's amazing but I need a little help setting it up
44,post_purchase,the shipment I received is wrong
45,pre_purchase,hi Jacob I just placed an order with you guys but I found the same product online at another store for a cheaper price I was wondering if you could price match it or could I cancel this order
46,post_purchase,hey my name is Daniel I received my shipment yesterday but it's wrong can I change it
47,pre_purchase,hi I placed an order a couple days ago and I was just wondering why my tracking number isn't working
48,pre_purchase,hey I just ordered the new phone and I was wondering if I could get earpods put into that order just dial before you guys send it
49,post_purchase,I would have a couple of things from you guys the other day and two it two of them two of them great and I love them but the other one is is not the right thing
50,pre_purchase,hi just about to order these shoes online I was just wondering if you have any different sizes in store
51,post_purchase,my shipment arrived yesterday but it's not the right thing is there someone I can talk to you to fix it up
52,post_purchase,I bought a pair of pants from you guys and they are just a bit too long do you guys do Hemi
53,pre_purchase,hi I was just looking at finding a new phone I was wondering if you could recommend anything to me
54,pre_purchase,accidentally made some errors in the order I recently just place I was wondering if you could help me
55,post_purchase,I bought a hat from you guys and it's just too big is there anyway I can get it down size and what's your policies on that
56,post_purchase,I'm calling out to talk about a package I got yesterday it so I got it but I need to do I need some help with setting it up
57,pre_purchase,hi I was just wondering if you have the extra large tea and blue
58,post_purchase,I purchase something from your online store yesterday but the receipt didn't come through can can I get another receipt emailed please
59,post_purchase,hey my order arrived today but it's it's there's a it's I don't think it's the one that I ordered I checked the receipt and it doesn't match what what a ride
60,post_purchase,my package was supposed to be delivered yesterday but if it didn't arrive is there someone I can talk to about my order
61,pre_purchase,I just placed an order and I was wondering if I could change my shipping time from standard business days to rush if possible
62,post_purchase,hey how are you doing I just put a cat from you guys and it's just the Wrong Colours is there any chance I can change that
63,pre_purchase,hey mate I just finished paying for my order and I was just wondering when I'm going to get that email to confirm it
64,post_purchase,these clothes I just bought from you guys too small is there any way I can change the size
65,post_purchase,what's the process I have to go through to send my product back for a swap
66,post_purchase,my shipment arrived this afternoon but it's wrong size is there anyone I can talk to you to change it
67,post_purchase,my shipment arrived this afternoon but it's wrong size is there anyone I can talk to you to change it
68,post_purchase,hey mate how you doing just calling in regards to the phone I just purchased from you guys faulty not working and there was damaged on the way here
69,post_purchase,my package was supposed to be delivered yesterday but if it didn't arrive is there someone I can talk to about my order
70,pre_purchase,hey just looking to place an order but I see that you have a promotion still running can you give me some more details behind this promotion
71,pre_purchase,hi Tony I just placed an order I'm currently having a few problems I was wondering if you could help me
72,pre_purchase,I just ordered the new remote control car off your website I was just didn't see how many horsepower it has can you tell me
73,pre_purchase,yeah hi John just calling in regards to a recent order I just placed I found a cheaper product online and I was wondering if I could cancel that
74,post_purchase,I just bought a product from you guys and I wouldn't want to know if I can send it back to get a colour change
75,pre_purchase,I was looking online it says that you're only sizes available or large and small I was wondering if you'll have any mediums in soon
76,post_purchase,I bought a pair of pants and they're the wrong colour is there any chance I can change that
77,post_purchase,my shipment arrived yesterday but it's not the right thing is there someone I can talk to you to fix it up
78,post_purchase,hey mate there must have been a problem with the shipping because the product I just received from you is damaged
79,post_purchase,hey mate I just bought a product from you guys and I'm just not happy with the pot the product can I return it
80,pre_purchase,yeah hey Steve just calling in regards to a recent order I just placed I was wondering if I could cancel that order
